Afghanistan,Kabul,34.5166667,69.1833344,1808
Afghanistan,Kandahar,31.61,65.6999969,1015
Afghanistan,Mazar-e Sharif,36.7069444,67.1122208,369
Afghanistan,Herat,34.34,62.1899986,927
Afghanistan,Jalalabad,34.42,70.4499969,573
Afghanistan,Konduz,36.72,68.8600006,394
Afghanistan,Ghazni,33.5535554,68.4268875,2175
Afghanistan,Balkh,36.7586111,66.8961105,328
Afghanistan,Baghlan,36.12,68.6999969,565
Afghanistan,Gardez,33.59,69.2200012,2279
Afghanistan,Khost,33.3380556,69.9202805,1178
Afghanistan,Khanabad,36.68,69.1100006,490
Afghanistan,Tashqorghan,36.6952778,67.6980591,460
Afghanistan,Taloqan,36.7360511,69.5345078,788
Afghanistan,Cool urhajo,34.2654452,67.3451614,2733
Afghanistan,Pol-e Khomri,35.9425,68.7191696,832
Afghanistan,Sheberghan,36.6672222,65.7536087,362
Afghanistan,Charikar,35.013611,69.1713867,1534
Afghanistan,Sar-e Pol,36.2155556,65.9363861,629
Afghanistan,Paghman,34.5875,68.953331,2276
Afghanistan,Samangan,36.2652778,68.0166702,960
Afghanistan,Nawab City,31.58,64.3600006,775
Afghanistan,Gereshk,31.8188889,64.5647202,844
Afghanistan,Farakh,32.37,62.1100006,653
Afghanistan,Feyzabad,37.1175,70.5797195,1235
Afghanistan,Sindand,33.3,62.1399994,1071
Afghanistan,Andkhvoy,36.9525,65.1236115,319
Afghanistan,Rostaq,37.1275,69.8305588,1323
Afghanistan,Qaravol,37.2211111,68.7799988,327
Afghanistan,Nahrin,36.0652778,69.1338882,1156
Afghanistan,Baraki Barak,33.9675,68.9486084,1937
Afghanistan,At Khvajeh,37.0841667,69.4805527,474
Afghanistan,Eslam Qal`eh,34.6666667,61.0666656,721
Afghanistan,Karokh,34.4791667,62.5869446,1309
Afghanistan,Mehtar Lam,34.6713889,70.2094421,768
Afghanistan,Kushk,33.2961111,61.9527779,1126
Afghanistan,Shahrag,34.1083333,64.3033371,2393
Afghanistan,Asmar,35.03,71.3499985,934
Afghanistan,Sang-e Charak,35.8497222,66.4369431,1547
Afghanistan,Khash,31.5291667,62.7924995,578
Afghanistan,Achin,34.12,70.6999969,997
Afghanistan,Jabal os Saraj,35.118333,69.2377777,1575
Afghanistan,Qarqin,37.4127778,66.047226,250
Afghanistan,Mirabad,30.4352778,61.8347206,499
Afghanistan,Zarghun Shahr,32.8472222,68.4458313,2114
Afghanistan,Sangin,32.0733333,64.8338852,892
Afghanistan,Panjab,34.3875,67.0233307,2707
Afghanistan,Uruzgan,32.92,66.6299973,2010
Afghanistan,Pul-i-Alam,33.98,69.0299988,1916
Afghanistan,Chiras,35.4166667,65.9833298,2828
Afghanistan,Hokumati Azraw,34.17,69.6399994,2278
Afghanistan,Qareh Bagh,34.9405556,61.7775002,950
Afghanistan,Kalat-i-Ghilzai,32.1,66.9100037,1535
Afghanistan,Ashkasham,36.6833333,71.5333328,3037
Afghanistan,Jorm,36.8666667,70.8344421,1508
Afghanistan,Kuhestan,34.6538889,61.1977768,734
Afghanistan,Tokzar,35.9488889,66.4199982,1253
Afghanistan,Char Burj,34.24,62.1899986,967
Afghanistan,Lar Gerd,35.4897222,66.6636124,1867
Afghanistan,Rudbar,30.15,62.5999985,573
Afghanistan,Farkhar,36.5722222,69.8580551,1135
Afghanistan,Zendeh Jan,34.3455556,61.7316666,844
Afghanistan,Anar Darreh,32.7622222,61.6525002,801
Afghanistan,Emam Saheb,37.1822222,68.9124985,340
Afghanistan,Darzab,35.9783333,65.3791656,1224
Afghanistan,`Alaqehdari Deh-e Shu,30.4347222,63.3072205,584
Afghanistan,Tagow Bay,35.7016667,66.0613861,1845
Afghanistan,Darvishan,31.1333333,64.1924973,719
Afghanistan,Qarchi Gak,37.0355556,66.788887,298
Afghanistan,Dasht-e Archi,37.1333333,69.1666641,372
Afghanistan,Qal`eh Shahr,35.5483333,65.5677795,2159
Afghanistan,Zareh Sharan,33.1466667,68.7916641,2141
Afghanistan,Tir Pol,34.5952778,61.2669449,768
Afghanistan,Mohmand Darrah,34.24,70.8700027,481
Afghanistan,Yengi Qal`eh,37.4672222,69.609169,481
Afghanistan,Tagao,34.85,69.6399994,1453
Afghanistan,Khandud,36.9488889,72.3169479,2918
Afghanistan,Mir Bachcheh Kowt,34.7488889,69.1191635,1691
Afghanistan,Dorufchah,36.4397222,70.0838852,4290
Afghanistan,Dahaneh-ye Ghowri,35.9075,68.4938889,758
Afghanistan,Lab-Sar,36.0261111,66.8386078,1043
Afghanistan,Darwazkay,35.02,71.0400009,2508
Afghanistan,Munay,34.98,71.25,995
Afghanistan,Mulkanah,34.94,71.0599976,1181
Albania,Tirana,41.3275,19.8188896,103
Albania,Durres,41.3230556,19.4413891,-9999
Albania,Elbasan,41.1125,20.082222,126
Albania,Vlore,40.4666667,19.4897213,58
Albania,Shkoder,42.0682829,19.5125771,17
Albania,Fier-Cifci,40.7166667,19.5666676,7
Albania,Korce,40.6186111,20.7808342,876
Albania,Berat,40.7058333,19.9522228,69
Albania,Lushnje,40.9419444,19.7049999,81
Albania,Kavaje,41.1855556,19.5569439,10
Albania,Lac,41.6355556,19.7130547,89
Albania,Gjirokaster,40.0758333,20.1388893,213
Albania,Patos Fshat,40.6427778,19.6508331,118
Albania,Kruje,41.5091667,19.792778,870
Albania,Lezhe,41.7836111,19.6436119,82
Albania,Kucove,40.8002778,19.916666,95
Albania,Kukes,42.0769444,20.4219437,339
Albania,Burrel,41.6102778,20.0088882,196
Albania,Sarande,39.8755556,20.0052776,170
Albania,Peshkopi,41.685,20.4288883,718
Albania,Cerrik,41.0316667,19.9758339,70
Albania,Shijak,41.3455556,19.5672226,57
Albania,Corovode,40.5041667,20.2272224,539
Albania,Librazhd-Qender,41.1969444,20.335556,436
Albania,Tepelene,40.2958333,20.0191669,112
Albania,Gramsh,40.8697222,20.1844444,342
Albania,Bulqize,41.4916667,20.2219448,729
Albania,Kamez,41.3816667,19.7602787,73
Albania,Permet,40.2336111,20.3516674,281
Albania,Polican,40.6122222,20.0980549,407
Albania,Fushe-Kruje,41.4783333,19.7177773,41
Albania,Ballsh,40.5988889,19.7347221,232
Albania,Rreshen,41.7675,19.875555,129
Albania,Mamurras,41.5775,19.6922226,79
Albania,Bajram Curri,42.3572222,20.0730553,313
Albania,Erseke,40.3377778,20.6788883,1024
Albania,Peqin,41.0461111,19.751112,37
Albania,Bilisht,40.6275,20.9899998,946
Albania,Selenice,40.5305556,19.6358337,113
Albania,Roskovec,40.7375,19.7022228,24
Albania,Puke,42.0444444,19.8997231,795
Albania,Rrogozhine,41.0763889,19.6652775,48
Albania,Vore,41.3908333,19.6550007,74
Albania,Memaliaj,40.3516667,19.980278,141
Albania,Ura Vajgurore,40.7688889,19.8777771,30
Albania,Himare,40.1016667,19.7447224,60
Albania,Koplik,42.2136111,19.436388,71
Albania,Perrenjas-Fshat,41.0666667,20.5352783,562
Albania,Delvine,39.9511111,20.0977783,255
Albania,Maliq,40.7058333,20.6997223,824
Albania,Libohove,40.0311111,20.2630558,536
Albania,Shengjin,41.8136111,19.5938892,-9999
Albania,Leskovik,40.1513889,20.5972214,908
Albania,Orikum,40.3252778,19.4713898,8
Albania,Kelcyre,40.3130556,20.1894436,171
Albania,Fushe-Arrez,42.0622222,20.0166664,590
Albania,Rubik,41.7744444,19.7861118,262
Albania,Milot,41.6838889,19.7155552,49
Albania,Kurbnesh,41.7797222,20.0836105,833
Albania,Konispol,39.6588889,20.1813889,478
Albania,Krrabe,41.2155556,19.9713898,542
Albania,Fierze,42.2647222,20.0269451,474
Albania,Klos,41.5069444,20.0866661,275
Albania,Kutreq,41.3966667,19.9616661,524
Albania,Collak,41.3152778,19.8661118,217
Albania,Ballaj,41.3222222,19.8802776,276
Albania,Kubes,41.4166667,19.8511105,573
Albania,Kurte,41.4930556,19.9972229,1328
Albania,Melcize,41.3952778,19.8222218,130
Albania,Livadhet,41.4080556,19.9047222,395
Albania,Gurra e Vogel,41.2863889,19.8883324,240
Albania,Celiku,41.2761111,19.8522224,157
Albania,Kamere,41.4719444,19.9708328,1286
Albania,Mal Pjec,41.4786111,19.9547215,1155
Albania,Dallashi,41.2830556,19.8763885,241
Albania,Shejleret,41.3072222,19.8858337,253
Albania,Kokli,41.3091667,19.9286118,665
Albania,Shugyrk,41.44,19.9302769,429
Albania,Metaj,41.4933333,19.9052773,695
Albania,Marice,41.4216667,19.9591675,585
Albania,Panec,41.2847222,20.0063896,516
Albania,Balajt e Poshtem,41.4205556,20.1397228,1080
Albania,Blishte,41.4430556,20.1466675,613
Albania,Shengjun,41.4891667,20.1375008,577
Albania,Rucaj,41.4661111,20.1555557,815
Albania,Kotaj,41.4333333,20.2008324,1102
